VIN,Year,Make,Model,Trim,Mileage,Price,Stock #,Body Style,Drivetrain,Exterior Color,Interior Color,Vehicle URL,Main Image URL,Image URL 2,Image URL 3,Image URL 4,Image URL 5
1GTU9EET3MZ435443,2021,GMC,Sierra 1500,AT4,46852.0,43438,P59003,,,,,https://www.goodchev.com/used-Renton-2021-GMC-Sierra+1500-AT4-1GTU9EET3MZ435443,/vehicles/P59003_1.jpg,,,,
1C4GJXAG5MW842447,2021,Jeep,Wrangler,Willys,36088.0,29513,260022A,,,,,https://www.goodchev.com/used-Renton-2021-Jeep-Wrangler-Willys-1C4GJXAG5MW842447,/vehicles/260022A_1.jpg,,,,
1GNEVKKW7LJ237966,2020,Chevrolet,Traverse,Premier,95012.0,25100,250457A,,,,,https://www.goodchev.com/used-Renton-2020-Chevrolet-Traverse-Premier-1GNEVKKW7LJ237966,/vehicles/250457A_1.jpg,,,,
JN8AF0BE1SM462918,2025,Nissan,ARIYA,ENGAGE,2366.0,27612,P59014,,,,,https://www.goodchev.com/used-Renton-2025-Nissan-ARIYA-ENGAGE-JN8AF0BE1SM462918,/vehicles/P59014_1.jpg,,,,
WVWDR7AN3KE027452,2019,Volkswagen,Arteon,SEL,76168.0,22658,P59013,,,,,https://www.goodchev.com/used-Renton-2019-Volkswagen-Arteon-SEL-WVWDR7AN3KE027452,/vehicles/P59013_1.jpg,,,,
2C3CDZJG6PH503639,2023,Dodge,Challenger,GT,57012.0,25469,P59028,,,,,https://www.goodchev.com/used-Renton-2023-Dodge-Challenger-GT-2C3CDZJG6PH503639,/vehicles/P59028_1.jpg,,,,
1FTER4FH1LLA40090,2020,Ford,Ranger,XLT,55515.0,30461,P59026,,,,,https://www.goodchev.com/used-Renton-2020-Ford-Ranger-XLT-1FTER4FH1LLA40090,/vehicles/P59026_1.jpg,,,,
19XFC1F34ME209358,2021,Honda,Civic Sedan,EX,37849.0,23670,P59024,,,,,https://www.goodchev.com/used-Renton-2021-Honda-Civic+Sedan-EX-19XFC1F34ME209358,/vehicles/P59024_1.jpg,,,,
3VW447AU5JM265041,2018,Volkswagen,Golf GTI,S,55985.0,22995,P59030,,,,,https://www.goodchev.com/used-Renton-2018-Volkswagen-Golf+GTI-S-3VW447AU5JM265041,/vehicles/P59030_1.jpg,,,,
1G1YB2D75G5107874,2016,Chevrolet,Corvette Stingray,1LT,6978.0,46995,P59034,,,,,https://www.goodchev.com/used-Renton-2016-Chevrolet-Corvette+Stingray-1LT-1G1YB2D75G5107874,/vehicles/P59034_1.jpg,,,,
